SNID,IAUC,FAKE,RA,DECL,PIXSIZE,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_OBJID,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SNSEP,PEAKMJD,SEARCH_TYPE
13828       ,UNKNOWN ,0,-23.665131,-0.206961,0.40000000596,101,209,607388,607596,0.077699996531,0.0130000002682,-9.0,-9.0,-9.0,-9.0,1237663543148741632,0.418199986219,-9.0,0.25,53947.0,101
13829       ,UNKNOWN ,0,-21.513885,-0.295557,0.40000000596,110,115,607598,607712,0.0544999986887,0.00910000037402,0.439040005207,3.50000009348e-05,0.437299996614,3.50000009348e-05,1237663478724166144,0.523500025272,-9.0,0.291999995708,54078.0,110
13830       ,2006hm  ,0,-8.438385,-0.38233,0.40000000596,120,105,607714,607818,0.0401999987662,0.00669999979436,0.331470012665,3.70000016119e-05,0.329840987921,3.70000016119e-05,1237663783656817152,0.33599999547,-9.0,2.63100004196,53993.515625,120
13832       ,UNKNOWN ,0,-7.221832,-0.411312,0.40000000596,110,110,607820,607929,0.0320000015199,0.00529999984428,0.295780003071,0.000102999998489,0.294196993113,0.000102999998489,1237663783657341440,0.292100012302,-9.0,0.240999996662,54017.0,110
13833       ,UNKNOWN ,0,-5.678558,-0.209434,0.40000000596,106,219,607931,608149,0.0362999998033,0.00609999988228,0.516580998898,9.300000238e-05,0.514732003212,9.300000238e-05,1237663276851528448,0.38330000639,-9.0,1.69500005245,54000.0,106
13834       ,UNKNOWN ,0,-1.243286,-0.223202,0.40000000596,103,114,608151,608264,0.0318999998271,0.00529999984428,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,53982.0,103
13835       ,2006hp  ,0,6.059592,-0.248315,0.40000000596,120,109,608266,608374,0.0251000002027,0.00419999985024,0.247488006949,1.20000004245e-05,0.246033996344,1.20000004245e-05,1237663783663173888,0.17499999702,-9.0,3.79699993134,54011.484375,120
13836       ,UNKNOWN ,0,6.913375,-0.36333,0.40000000596,106,110,608376,608485,0.0200999993831,0.00329999998212,0.374341011047,8.39999993332e-05,0.372747004032,8.39999993332e-05,1237663783663566848,0.296600013971,-9.0,0.0460000000894,54001.0,106
13837       ,UNKNOWN ,0,7.774496,-0.270207,0.40000000596,5,110,608487,608596,0.0193000007421,0.00319999991916,-9.0,-9.0,-9.0,-9.0,1237663783663895040,0.443599998951,-9.0,0.221000000834,54012.0,5
13838       ,UNKNOWN ,0,9.907341,-0.32771,0.40000000596,5,114,608598,608711,0.0215000007302,0.00359999993816,0.0552860014141,1.70000002981e-05,0.0540850013494,1.70000002981e-05,1237663783664877824,0.0942000001669,-9.0,4.1859998703,54009.0,5
13839       ,UNKNOWN ,0,-49.664215,0.178221,0.40000000596,101,128,608713,608840,0.0646999999881,0.0108000002801,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54018.0,101
